side,entry_time,exit_time,entry,exit,units,pnl,pips,reason
short,2025-07-07 08:07:06.042736+00:00,2025-07-07 11:22:06.042736+00:00,1.0806098631120886,1.0812906221674197,73000,-58.45541103916653,-8.007590553310482,sl
short,2025-07-07 13:07:06.042736+00:00,2025-07-07 13:22:06.042736+00:00,1.081422032226553,1.0810142114398198,79000,22.737842151930128,2.878207867332928,tp
long,2025-07-07 18:22:06.042736+00:00,2025-07-07 19:22:06.042736+00:00,1.0804387455659095,1.081013232848627,81000,36.8134699001243,4.54487282717584,tp
long,2025-07-08 01:07:06.042736+00:00,2025-07-08 03:07:06.042736+00:00,1.078157653002919,1.077481061635751,73000,-58.15116980326563,-7.965913671680224,sl
long,2025-07-08 05:07:06.042736+00:00,2025-07-08 06:52:06.042736+00:00,1.0770445871221388,1.0779668133408866,75000,60.16696640608677,8.022262187478237,tp
short,2025-07-08 07:52:06.042736+00:00,2025-07-08 08:22:06.042736+00:00,1.0783122046144415,1.077616887558188,71000,40.84751099400461,5.75317056253586,tp
long,2025-07-08 10:07:06.042736+00:00,2025-07-08 10:22:06.042736+00:00,1.0765407714519302,1.077506569514021,75000,63.43485465680544,8.457980620907392,tp
long,2025-07-09 04:37:06.042736+00:00,2025-07-09 05:07:06.042736+00:00,1.077378083413679,1.076652832526704,69000,-58.32231120127911,-8.452508869750595,sl
long,2025-07-09 05:07:06.042736+00:00,2025-07-09 08:22:06.042736+00:00,1.0769280514962982,1.077963106808213,73000,66.79903776977478,9.150553119147233,tp
short,2025-07-09 09:22:06.042736+00:00,2025-07-09 10:52:06.042736+00:00,1.0783231450173563,1.0774208572499921,63000,49.284129343939455,7.822877673641183,tp
long,2025-07-09 12:22:06.042736+00:00,2025-07-09 12:37:06.042736+00:00,1.0759692108580654,1.0752536178917718,71000,-59.327100606848674,-8.355929662936433,sl
long,2025-07-10 01:52:06.042736+00:00,2025-07-10 02:22:06.042736+00:00,1.0765760762030654,1.0758814559359724,72000,-58.652659230695534,-8.146202670929934,sl
long,2025-07-10 02:52:06.042736+00:00,2025-07-10 05:07:06.042736+00:00,1.0760574219297903,1.0769282185841165,74000,55.55895242013964,7.507966543262113,tp
short,2025-07-10 06:52:06.042736+00:00,2025-07-10 08:37:06.042736+00:00,1.078618484319675,1.079341421554617,69000,-58.162669210997265,-8.429372349419893,sl
short,2025-07-10 16:52:06.042736+00:00,2025-07-10 20:37:06.042736+00:00,1.0794955039833187,1.080198163751212,71000,-58.40884352041634,-8.226597678931878,sl
long,2025-07-11 02:07:06.042736+00:00,2025-07-11 06:37:06.042736+00:00,1.0790865762102222,1.078311400519625,64000,-57.29124419821772,-8.951756905971518,sl
long,2025-07-11 07:22:06.042736+00:00,2025-07-11 12:07:06.042736+00:00,1.0778964761186236,1.0771707439935105,68000,-57.50978450768845,-8.457321251130654,sl
short,2025-07-11 18:22:06.042736+00:00,2025-07-11 19:52:06.042736+00:00,1.0793651792692405,1.0778423701360695,64000,89.77978452293968,14.028091331709327,tp
long,2025-07-13 23:07:06.042736+00:00,2025-07-13 23:52:06.042736+00:00,1.0727528122442491,1.0720369585623342,69000,-57.673904052132066,-8.358536819149574,sl
long,2025-07-14 07:07:06.042736+00:00,2025-07-14 08:22:06.042736+00:00,1.0717571832802837,1.0709798035901075,63000,-56.534920481101636,-8.973796901762164,sl
long,2025-07-14 12:22:06.042736+00:00,2025-07-14 12:37:06.042736+00:00,1.0702736292843784,1.0695742952016165,70000,-57.3533857933333,-8.193340827619043,sl
long,2025-07-14 13:22:06.042736+00:00,2025-07-14 16:37:06.042736+00:00,1.0691362847417458,1.0683714791403187,64000,-56.62755849133503,-8.848056014271098,sl
long,2025-07-14 18:22:06.042736+00:00,2025-07-14 18:37:06.042736+00:00,1.0684684195964338,1.0689298773464324,64000,21.853295999911502,3.414577499986172,tp
short,2025-07-15 01:37:06.042736+00:00,2025-07-15 13:37:06.042736+00:00,1.072698457263385,1.071174879039146,57000,80.00395878162854,14.035782242390972,tp
long,2025-07-15 14:52:06.042736+00:00,2025-07-15 15:22:06.042736+00:00,1.0701331418300937,1.0694020255958987,67000,-57.02478769106318,-8.511162341949728,sl
short,2025-07-15 19:07:06.042736+00:00,2025-07-15 19:22:06.042736+00:00,1.0713913872723475,1.0722037976787437,60000,-55.94462438377414,-9.324104063962356,sl
short,2025-07-15 20:07:06.042736+00:00,2025-07-15 21:52:06.042736+00:00,1.0726752132326733,1.0734805415136137,60000,-55.51969685642257,-9.25328280940376,sl
long,2025-07-16 00:52:06.042736+00:00,2025-07-16 02:22:06.042736+00:00,1.0715312325567699,1.0708367139747157,69000,-56.201782161737036,-8.145185820541599,sl
long,2025-07-16 03:07:06.042736+00:00,2025-07-16 04:52:06.042736+00:00,1.069961718345254,1.0692213582668626,64000,-55.0630450170567,-8.603600783915109,sl
long,2025-07-16 07:07:06.042736+00:00,2025-07-16 09:07:06.042736+00:00,1.0673208025757994,1.0665922649695214,65000,-55.15494440807009,-8.485376062780013,sl
short,2025-07-16 13:52:06.042736+00:00,2025-07-16 14:37:06.042736+00:00,1.0680431350057544,1.0673554681942556,58000,32.924675066929716,5.676668114987883,tp
long,2025-07-17 04:52:06.042736+00:00,2025-07-17 06:07:06.042736+00:00,1.0679078477685957,1.0685831910996373,73000,40.54006316603519,5.553433310415779,tp
short,2025-07-17 09:22:06.042736+00:00,2025-07-17 12:07:06.042736+00:00,1.069845213629627,1.070570614781613,65000,-54.95107487908598,-8.454011519859382,sl
long,2025-07-17 14:37:06.042736+00:00,2025-07-17 15:37:06.042736+00:00,1.068960555334419,1.06992855532391,68000,57.6639992853833,8.479999894909309,tp
long,2025-07-17 16:52:06.042736+00:00,2025-07-17 19:37:06.042736+00:00,1.068133762281889,1.0694703460022343,70000,85.16086042417777,12.165837203453968,tp
short,2025-07-18 01:37:06.042736+00:00,2025-07-18 04:07:06.042736+00:00,1.0700520044671225,1.0692799414011975,76000,49.556793010294044,6.520630659249217,tp
long,2025-07-18 04:52:06.042736+00:00,2025-07-18 05:07:06.042736+00:00,1.0691066072500528,1.0698848568294042,72000,47.39396971329744,6.582495793513533,tp
short,2025-07-18 11:52:06.042736+00:00,2025-07-19 01:07:06.042736+00:00,1.0728487253091585,1.0735372971014767,70000,-56.600025462272754,-8.085717923181821,sl
short,2025-07-20 23:07:06.042736+00:00,2025-07-21 00:22:06.042736+00:00,1.06701890666187,1.0677949221132348,62000,-55.55295798461401,-8.96015451364742,sl
short,2025-07-21 06:37:06.042736+00:00,2025-07-21 07:07:06.042736+00:00,1.0680193595815846,1.0678592603670973,61000,2.446052083721055,0.40099214487230417,tp
short,2025-07-21 09:22:06.042736+00:00,2025-07-21 09:37:06.042736+00:00,1.0683208574187535,1.068109163767312,61000,5.5933127379363885,0.9169365144158015,tp
short,2025-07-21 17:07:06.042736+00:00,2025-07-21 17:22:06.042736+00:00,1.0682477005712963,1.0690157892174694,62000,-55.06149606273658,-8.880886461731706,sl
short,2025-07-21 17:52:06.042736+00:00,2025-07-21 18:07:06.042736+00:00,1.0688737892710563,1.0696507422134356,61000,-54.71412948513966,-8.969529423793386,sl
short,2025-07-22 04:22:06.042736+00:00,2025-07-22 04:37:06.042736+00:00,1.0714566591217767,1.072223440227026,62000,-54.980428525463694,-8.867811052494144,sl
short,2025-07-22 04:52:06.042736+00:00,2025-07-22 08:07:06.042736+00:00,1.0722099682157546,1.070241375200278,63000,116.46135997503171,18.48593015476694,tp
long,2025-07-22 14:07:06.042736+00:00,2025-07-22 14:37:06.042736+00:00,1.070023083821218,1.0692987753487988,66000,-55.724359179661306,-8.443084724191106,sl
long,2025-07-22 14:37:06.042736+00:00,2025-07-22 15:07:06.042736+00:00,1.069873480220113,1.0691368317830325,64000,-54.82549997315487,-8.566484370805448,sl
short,2025-07-23 02:22:06.042736+00:00,2025-07-23 02:37:06.042736+00:00,1.068172845747396,1.0675444289346787,60000,30.505008763038173,5.084168127173029,tp
long,2025-07-23 05:22:06.042736+00:00,2025-07-23 06:52:06.042736+00:00,1.0658036997214664,1.065048247267889,63000,-55.153504575371926,-8.75452453577332,sl
long,2025-07-23 07:52:06.042736+00:00,2025-07-23 09:22:06.042736+00:00,1.0643786493040484,1.063692378565779,69000,-55.63268094058331,-8.062707382693233,sl
long,2025-07-23 12:52:06.042736+00:00,2025-07-23 13:22:06.042736+00:00,1.0621408129008225,1.0614425011518553,67000,-54.8268871808006,-8.18311748967173,sl
long,2025-07-24 03:37:06.042736+00:00,2025-07-24 06:07:06.042736+00:00,1.061627759799778,1.060847252422578,59000,-53.12993525480205,-9.005073772000348,sl
short,2025-07-24 08:22:06.042736+00:00,2025-07-24 09:37:06.042736+00:00,1.0625012177099054,1.0618387976388677,60000,32.545204262260356,5.424200710376726,tp
long,2025-07-24 12:52:06.042736+00:00,2025-07-24 14:37:06.042736+00:00,1.060913905242949,1.0603003615089688,76000,-55.74932378249973,-7.3354373398025965,sl
long,2025-07-24 15:52:06.042736+00:00,2025-07-24 17:37:06.042736+00:00,1.0593874937824335,1.0586806702191611,65000,-53.74353161270214,-8.268235632723407,sl
long,2025-07-25 01:52:06.042736+00:00,2025-07-25 02:22:06.042736+00:00,1.05724698910593,1.0565979876537728,71000,-54.59910310315999,-7.69001452157183,sl
long,2025-07-25 02:22:06.042736+00:00,2025-07-25 04:52:06.042736+00:00,1.0567044315377512,1.0560322543382366,68000,-53.86804956699437,-7.921771995146231,sl
long,2025-07-25 06:37:06.042736+00:00,2025-07-25 06:52:06.042736+00:00,1.0560588716298647,1.0564658728141703,66000,18.942078164168855,2.870011843055887,tp
short,2025-07-25 07:37:06.042736+00:00,2025-07-25 08:22:06.042736+00:00,1.0573151473201075,1.0565163806073412,61000,41.40476947874071,6.787667127662412,tp
short,2025-07-27 23:22:06.042736+00:00,2025-07-27 23:37:06.042736+00:00,1.0424954937987951,1.0432218242619808,63000,-53.318819180699684,-8.463304631857092,sl
short,2025-07-28 00:07:06.042736+00:00,2025-07-28 02:07:06.042736+00:00,1.043094363380169,1.0420753837021388,66000,59.33265874999442,8.989796780302186,tp
long,2025-07-28 03:07:06.042736+00:00,2025-07-28 06:07:06.042736+00:00,1.0413453594344586,1.0425443201415283,66000,71.21140666660068,10.789607070697073,tp
short,2025-07-28 06:52:06.042736+00:00,2025-07-28 07:07:06.042736+00:00,1.0427319502783363,1.041878600564093,66000,48.40108114006007,7.333497142433344,tp
short,2025-07-28 10:07:06.042736+00:00,2025-07-28 10:37:06.042736+00:00,1.0433356522369646,1.042400111798809,60000,48.93242628932813,8.155404381554689,tp
short,2025-07-29 02:22:06.042736+00:00,2025-07-29 03:22:06.042736+00:00,1.0414145975064786,1.0420521880376883,73000,-55.30410877830872,-7.575905312097086,sl
short,2025-07-29 03:52:06.042736+00:00,2025-07-29 04:37:06.042736+00:00,1.0417906849379222,1.0424232759994867,73000,-54.93914749421192,-7.525910615645469,sl
short,2025-07-29 05:22:06.042736+00:00,2025-07-29 06:52:06.042736+00:00,1.043134811467781,1.0437953135468803,69000,-53.854643457851004,-7.8050207909928995,sl
short,2025-07-29 07:52:06.042736+00:00,2025-07-29 13:22:06.042736+00:00,1.0445836970992919,1.0452987211642304,64000,-53.441540156064484,-8.350240649385075,sl
short,2025-07-30 01:52:06.042736+00:00,2025-07-30 03:37:06.042736+00:00,1.0438127379520103,1.0426392297701272,66000,69.53154000428522,10.535081818831095,tp
long,2025-07-30 10:07:06.042736+00:00,2025-07-30 11:07:06.042736+00:00,1.0411522712922732,1.0404303175213214,63000,-53.043087569959894,-8.419537709517442,sl
long,2025-07-30 11:37:06.042736+00:00,2025-07-30 13:07:06.042736+00:00,1.0409209627997917,1.0401537484488637,59000,-52.345646704756746,-8.872143509280804,sl
long,2025-07-30 17:22:06.042736+00:00,2025-07-30 17:37:06.042736+00:00,1.0393756875904578,1.0385499331236028,55000,-52.01649567702866,-9.457544668550664,sl
short,2025-07-31 03:52:06.042736+00:00,2025-07-31 04:07:06.042736+00:00,1.0438611295463858,1.0445436980649756,66000,-52.96952222692893,-8.025685185898322,sl
short,2025-07-31 09:22:06.042736+00:00,2025-07-31 13:52:06.042736+00:00,1.0457627071953381,1.046532599080569,58000,-51.6137293433864,-8.898918852308,sl
short,2025-07-31 14:22:06.042736+00:00,2025-07-31 14:52:06.042736+00:00,1.0460384215323804,1.0468432781161419,55000,-50.86711210688272,-9.24856583761504,sl
short,2025-07-31 15:52:06.042736+00:00,2025-07-31 20:22:06.042736+00:00,1.0477353849565532,1.0459560323444557,56000,92.92374627745976,16.593526120974957,tp
long,2025-08-01 02:52:06.042736+00:00,2025-08-01 03:07:06.042736+00:00,1.042665404572119,1.0419317940305324,61000,-52.07024303678965,-8.536105415867155,sl
long,2025-08-01 03:37:06.042736+00:00,2025-08-01 04:52:06.042736+00:00,1.0419505649096767,1.0411469866529095,55000,-50.79680412219851,-9.235782567672455,sl
short,2025-08-01 11:52:06.042736+00:00,2025-08-01 12:07:06.042736+00:00,1.0427492278965507,1.0435014782845988,59000,-51.46277289484138,-8.72250388048159,sl
short,2025-08-01 12:37:06.042736+00:00,2025-08-01 14:22:06.042736+00:00,1.0431158767190296,1.0421841004340202,59000,47.89480081555462,8.117762850094003,tp
short,2025-08-03 22:52:06.042736+00:00,2025-08-03 23:22:06.042736+00:00,1.0497133912946401,1.0490034868983347,62000,36.57407257093926,5.8990439630547185,tp
